Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
BIDU,Baidu Inc,Communication Services,$95.05,0.0%,N/A,N/A,$0.00,"$27,094.47",9,0.0%,1.3,$156.98,94.25
BIIB,Biogen Inc,Healthcare,$194.38,0.0%,N/A,N/A,$0.00,"$28,255.23",24,0.0%,,$319.76,189.44
BKNG,Booking Holdings Inc,Consumer Cyclical,"$3,414.82",0.3%,N/A,N/A,$8.75,"$116,687.91",27,7.5%,1.2,"$3,897.99",2444.38
BMRN,Biomarin Pharmaceutical Inc.,Healthcare,$88.63,0.0%,N/A,N/A,$0.00,"$16,727.48",100,0.0%,0.5,$99.56,76.02
CDNS,"Cadence Design Systems, Inc.",Technology,$280.25,0.0%,N/A,N/A,$0.00,"$76,294.98",73,0.0%,1.6,$327.36,194.01
CHTR,Charter Communications Inc.,Communication Services,$265.21,0.0%,N/A,N/A,$0.00,"$42,772.89",9,0.0%,1.1,$458.30,254.31
CMCSA,Comcast Corp,Communication Services,$40.24,3.1%,6.9%,8.1%,$1.16,"$159,447.50",10,31.2%,0.8,$46.42,34.68
COST,Costco Wholesale Corp,Consumer Defensive,$709.51,0.7%,0.0%,9.4%,$3.93,"$314,670.55",46,25.7%,0.8,$787.08,451.08
CPRT,"Copart, Inc.",Industrials,$52.88,0.0%,N/A,N/A,$0.00,"$50,844.12",37,0.0%,1.1,$58.58,38.35
CRWD,Crowdstrike Holdings Inc,Technology,$282.64,0.0%,N/A,N/A,$0.00,"$64,832.94",726,0.0%,1.7,$365.00,115.67
CSCO,"Cisco Systems, Inc.",Technology,$48.32,3.3%,2.6%,2.7%,$1.54,"$195,656.72",15,46.9%,0.7,$56.01,43.2
CSX,CSX Corp.,Industrials,$34.34,1.4%,9.1%,-12.9%,$0.45,"$67,132.20",18,24.1%,0.7,$39.87,28.65
CTAS,Cintas Corporation,Industrials,$661.29,0.8%,N/A,N/A,$5.16,"$67,035.92",45,35.6%,1.0,$704.84,431
CTSH,Cognizant Technology Solutions Corp.,Technology,$67.44,1.8%,3.4%,8.4%,$1.16,"$33,571.63",16,27.5%,0.8,$80.09,56.66
DDOG,Datadog Inc,Technology,$120.09,0.0%,N/A,N/A,$0.00,"$36,739.12",756,0.0%,1.7,$138.61,62.6
DLTR,Dollar Tree Inc,Consumer Defensive,$122.03,0.0%,N/A,N/A,$0.00,"$26,600.47",N/A,0.0%,0.8,$161.10,102.77
DOCU,DocuSign Inc,Technology,$55.70,0.0%,N/A,N/A,$0.00,"$11,440.78",155,0.0%,1.3,$64.76,38.11
DXCM,Dexcom Inc,Healthcare,$130.71,0.0%,N/A,N/A,$0.00,"$50,390.72",93,0.0%,0.9,$142.00,74.75
EA,"Electronic Arts, Inc.",Communication Services,$127.27,0.6%,N/A,N/A,$0.76,"$34,025.69",32,19.1%,0.7,$144.15,116.81
